ticker,close,open,high,low,volume,change_%,value_traded,high_52w,low_52w,market_cap,roe,pe,pb,perf_y,rvol,tarih,dist_from_52w_low,stop_price,target_cup,target_bagger,potansiyel_cup,mcap_milyon,score_base,score_quality,score_flow,score_ignition,quant_score,regime,score_diff,perf_1m,perf_w,sector,industry,oper_margin,tier
KBR,37.04,36.68,37.16,36.1,1904400.0,0.5975013579576287,70538976.0,52.23,29.94,4669549667.230852,27.0893371757925,11.170758188069245,2.85424765838416,-25.050586806960748,1.888311585293301,2026-09-08,23.7,28.74,52.23,92.6,41.0,4669.5,90.0,85.0,73.0,69.1,87.2,⚡ TABAN BİRİKTİRME (TAKİP),10.2,-1.226666666666669,-1.2529992002132735,Technology Services,Information Technology Services,9.97021882688075,
GPOR,180.04,178.82,181.28,176.295,298234.0,0.3567447045707839,53694049.36,225.78,149.18,3183802872.954292,27.4111285765093,7.200764711293489,1.7437220582196291,1.7750141322781154,1.3436100424977484,2026-09-08,20.7,143.21,225.78,450.1,25.4,3183.8,90.0,100.0,48.6,48.8,83.8,⚡ TABAN BİRİKTİRME (TAKİP),-2.6,13.375314861460945,0.8232065856526846,Energy Minerals,Oil & Gas Production,42.1816529930528,
FRMI,5.71,5.26,5.91,5.23,27615864.0,11.523437499999996,157686583.44,36.9899,4.47,3657068464.783203,12.0,15.0,3.531820402912051,-77.16,1.9166011764557933,2026-09-08,27.7,4.29,36.99,14.28,547.8,3657.1,65.0,70.0,48.0,100.0,78.6,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),-1.9,-11.609907120743037,17.248459958932234,Finance,Real Estate Development,10.0,
BEPC,32.56,31.81,33.08,31.75,1661066.0,2.551181102362212,54084308.96,45.18,30.91,4912639047.886614,12.0,15.0,2.0,-2.134054703937484,1.1539414078095458,2026-09-08,5.3,29.67,45.18,81.4,38.8,4912.6,90.0,70.0,26.8,53.1,76.5,⚡ TABAN BİRİKTİRME (TAKİP),0.0,-3.210463733650411,2.0050125313283225,Utilities,Electric Utilities,21.5629382918988,
HTGC,17.72,17.67,17.785,17.6,2201618.0,0.5104934770277928,39012670.96,19.62,13.7001,3316545948.331253,17.1598757627833,8.900497262544578,1.4586727230670322,-7.804370447450573,1.4148193013037296,2026-09-08,29.3,13.15,19.62,44.3,10.7,3316.5,65.0,85.0,35.0,52.1,76.2,⚡ TABAN BİRİKTİRME (TAKİP),-3.4,4.235294117647052,-0.7282913165266249,Finance,Finance/Rental/Leasing,82.6554785423897,
PIPR,77.34,76.64,77.98,75.79,480059.0,0.3894080996884698,37127763.06,95.065,68.69625,5465640145.6783495,23.6160793532111,17.928508507580325,3.805703437582576,-5.728912725499759,0.8662558832748171,2026-09-08,12.6,65.95,95.06,193.35,22.9,5465.6,90.0,85.0,37.7,32.3,74.6,⚡ TABAN BİRİKTİRME (TAKİP),1.4,3.5896062148406203,4.344306529951428,Finance,Investment Banks/Brokers,23.0586392140754,
MIAX,43.46,42.32,44.23,42.12,1483711.0,2.5241802311866013,64482080.06,57.14,35.43,4312574678.194386,18.1434392027883,55.9763008758372,3.7256463516355214,24.13596115395602,1.0922693127308687,2026-09-08,22.7,34.01,57.14,108.65,31.5,4312.6,90.0,60.0,29.8,50.9,74.3,⚡ TABAN BİRİKTİRME (TAKİP),4.2,-3.077609277430871,5.357575757575759,Finance,Investment Banks/Brokers,9.19046375426091,
MWH,25.66,25.55,26.42,25.4,1569608.0,1.543332014246144,40276141.28,48.4,23.83,5193369177.97309,12.0,15.0,10.454054714713491,-14.466666666666669,1.1673080159575904,2026-09-08,7.7,22.88,48.4,64.15,88.6,5193.4,100.0,70.0,11.7,48.6,72.2,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),-3.2,-8.974813763746013,1.7850059500198303,Industrial Services,Engineering & Construction,10.0,
OSIS,204.25,203.64,207.255,201.0,332970.0,0.0489835904971806,68009122.5,311.7225,186.5,3256146859.748959,17.3438450263306,22.73410282381488,3.903261789140543,-12.620320855614974,0.9944446452096152,2026-09-08,9.5,179.04,311.72,510.62,52.6,3256.1,100.0,70.0,12.7,35.1,68.8,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),-10.8,-14.45742765003979,-1.7698263838791934,Electronic Technology,Aerospace & Defense,12.9265995664015,
OLLI,76.88,76.5,77.38,75.1,1814506.0,0.4114151374648961,139499221.28,139.21,60.29,4566856731.900999,14.8623838757423,17.18104006972534,2.4151349293287163,-42.45939675174015,0.8587849385759003,2026-09-08,27.5,57.88,139.21,192.2,81.1,4566.9,65.0,70.0,47.9,32.1,67.0,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),0.8,-1.7884517118037886,2.753274525527937,Retail Trade,Department Stores,13.0261701301919,
